Symbol,Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,39713951702
AA,Alcoa,Metals & Mining,16603421639
AAC,Ares Acquisition,Blank Check / SPAC,1471500029
AACG,ATA Creativity Global,Diversified Consumer Services,46437812
AACI,Armada Acquisition I,Blank Check / SPAC,203367270
AADI,Aadi Bioscience,Biotechnology,355176975
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,105448438
AAL,American Airlines Group,Airlines,11847170036
AAMC,Altisource Asset Management,Real Estate Management & Development,28921715
AAME,Atlantic American,Insurance,63785018
AAN,The Aaron's Company,Specialty Retail,641254779
AAOI,Applied Optoelectronics,Communications Equipment,100404933
AAON,"AAON, Inc.",Building Products,2927457777
AAP,Advance Auto Parts,Specialty Retail,12644759502
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.90111E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,488000000
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2906367454
AATC,Autoscope Technologies,Scientific & Technical Instruments,34317126
AAU,Almaden Minerals,Metals & Mining,49460631
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2523359922
AB,AllianceBernstein Holding,Capital Markets,4667755004
ABB,ABB Ltd,Electrical Equipment,61871267830
ABBV,AbbVie,Biotechnology,2.89229E+11
ABC,AmerisourceBergen,Health Care Providers & Services,32355586043
ABCB,Ameris Bancorp,Banks,3057422328
ABCL,AbCellera Biologics,Biotechnology,2761755642
ABCM,Abcam,Biotechnology,4186745591
ABEO,Abeona Therapeutics,Biotechnology,46184667
ABEV,Ambev,Beverages,50836647933
ABG,Asbury Automotive Group,Specialty Retail,3714781679
ABGI,ABG Acquisition I,Blank Check / SPAC,189652815
ABIO,ARCA biopharma,Biotechnology,33143229
ABM,ABM Industries,Commercial Services & Supplies,3078653410
ABMD,Abiomed,Health Care Equipment & Supplies,15076785094
ABNB,Airbnb,"Hotels, Restaurants & Leisure",1.1042E+11
ABOS,Acumen Pharmaceuticals,Biotechnology,158250606
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2717043703
ABSI,Absci,Biotechnology,782073911
ABST,Absolute Software,Software-Application,427923679
ABT,Abbott Laboratories,Health Care Equipment & Supplies,2.08726E+11
ABTX,Allegiance Bancshares,Banks,910006496
ABUS,Arbutus Biopharma,Biotechnology,442953151
ABVC,ABVC BioPharma,Biotechnology,78103662
AC,Associated Capital Group,Capital Markets,924157368
ACA,Arcosa,Construction & Engineering,2765913582
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,297639000
ACAD,ACADIA Pharmaceuticals,Biotechnology,3904360686
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420468730
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,320457790
ACAX,Alset Capital Acquisition,Blank Check / SPAC,106938720
ACB,Aurora Cannabis,Pharmaceuticals,859091968
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61750799
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,15491208186
ACCD,Accolade,Health Care Technology,1175789433
ACCO,ACCO Brands,Commercial Services & Supplies,766810368
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,375375000
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1171737972
ACER,Acer Therapeutics,Pharmaceuticals,41499580
ACET,Adicet Bio,Health Care Providers & Services,796345647
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,140290376
ACGL,Arch Capital Group,Insurance,18329679825
ACH,Aluminum Corporation of China,Metals & Mining,14290398200
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5891277797
ACHL,Achilles Therapeutics,Biotechnology,114622079
ACHR,Archer Aviation,Aerospace & Defense,1130172030
ACHV,Achieve Life Sciences,Biotechnology,71618558
ACI,Albertsons Companies,Grocery Stores,16599730166
ACII,Atlas Crest Investment II,Blank Check / SPAC,423487480
ACIU,AC Immune,Biotechnology,333916000
ACIW,ACI Worldwide,Software,3623365360
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,156263250
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2511470537
ACLX,Arcellx,Biotechnology,501027132
ACM,AECOM,Construction & Engineering,10856556521
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1215256178
ACN,Accenture,IT Services,2.13773E+11
ACNB,ACNB Corporation,Banks,303338389
ACOR,Acorda Therapeutics,Biotechnology,21332983
ACQR,Independence Holdings,Blank Check / SPAC,606057791
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,119215422
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,732887038
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,418743740
ACRS,Aclaris Therapeutics,Pharmaceuticals,1056380982
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,41953935
ACST,Acasti Pharma,Pharmaceuticals,54382843
ACT,Enact Holdings,Insurance-Specialty,3623212027
ACTD,ArcLight Clean Transition II,Blank Check / SPAC,385842368
ACTG,Acacia Research,Professional Services,223659487
ACU,Acme United,Commercial Services & Supplies,120139503
ACVA,ACV Auctions,Software-Application,2314314492
ACXP,Acurx Pharmaceuticals,Biotechnology,33564896
ADAG,Adagene,Biotechnology,152518446
ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,300365625
ADAP,Adaptimmune Therapeutics,Biotechnology,322867903
ADBE,Adobe,Software,2.1528E+11
ADC,Agree Realty,Equity Real Estate Investment Trusts ...,4760015806
ADCT,ADC Therapeutics,Communications Equipment,1128346098
ADER,26 Capital Acquisition,Blank Check / SPAC,339624990
ADES,Advanced Emissions Solutions,Chemicals,117191013
ADEX,Adit EdTech Acquisition,Blank Check / SPAC,340860000
ADGI,Adagio Therapeutics,Biotechnology,507309119
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,86441172856
ADIL,Adial Pharmaceuticals,Pharmaceuticals,47675187
ADM,Archer-Daniels-Midland Company,Food Products,50769268702
ADMA,ADMA Biologics,Biotechnology,358533600
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,85013903
ADN,Advent Technologies Holdings,Utilities-Renewable,118908351
ADNT,Adient,Auto Components,3863626209
ADOC,Edoc Acquisition,Blank Check / SPAC,55548514
ADP,Automatic Data Processing,IT Services,95577030653
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1965185920
ADRA,Adara Acquisition,Blank Check / SPAC,142025000
ADRT,Ault Disruptive Technologies,Blank Check / SPAC,124625000
ADS,Alliance Data Systems,IT Services,2804585983
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,420724089
ADSK,Autodesk,Software,47151210406
ADT,ADT Inc.,Commercial Services & Supplies,6914945529
ADTH,AdTheorent Holding Company,Advertising Agencies,843720960
ADTN,ADTRAN,Communications Equipment,909858096
